Summary,Issue Type,Labels,Description
לדרוש שמשתני S3 PREFIX יהיו לא ריקים,Task,onboarding-friendly,"קובץ: apps/server/src/config/env.ts

הבעיה:
ברירת המחדל של Zod עבור משתני סביבה רצה רק כשהמשתנה לא קיים בכלל. אם בקובץ .env נכתב משתנה PREFIX ריק (למשל S3_OUTPUT_PREFIX=), הערך הריק עובר הלאה בלי להחליף בברירת המחדל. שלושה משתני prefix מסוג זה קיימים בקובץ.

למה זה חשוב:
ה-worker בונה מפתחות ב-S3 לפי הנוסחה <PREFIX>/<jobId>.<format>. עם prefix ריק, הוא כותב לתיקיית השורש של ה-bucket — מה ששובר את לוגיקת ה-retry/idempotency שלו בשקט, ויוצר חפיפות ב-keys בין jobs.

מה לעשות:
לדרוש שמשתני ה-PREFIX יהיו לא ריקים כשהם קיימים, תוך שמירה על ברירות המחדל הקיימות (output / preview / uploads) כשהמשתנה לא מוגדר בכלל.

מה זה יפתור:
תקלת הגדרה לא מוסתרת מאחורי ה-default — נתפסת ב-boot עם הודעה ברורה במקום ליצור התנגשויות שקטות ב-S3.

בדיקה:
להוסיף Vitest שמוודא: ערך ריק (מחרוזת אפס תווים) נדחה, וברירת המחדל מוחזרת כשהמשתנה לא קיים בכלל.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להוסיף ערכים אמיתיים להודעת השגיאה של endTimeMs/startTimeMs,Task,onboarding-friendly,"קובץ: apps/server/src/features/preview/adapters/inbound/http/preview.controller.ts

הבעיה:
כשבקשת preview נכשלת באימות כי endTimeMs לא גדול מ-startTimeMs, ההורה מקבל הודעת שגיאה כללית בלי הערכים עצמם. הוא לא יכול לדעת אם הוא שלח ערכים שווים, מוחלפים, או טעות של 1ms.

למה זה חשוב:
כל באג כזה אצל ההורה אוכל חצי שעת חיפוש בכל פעם. הודעת שגיאה היא חוויית מפתח, וההורה תלוי בנו בשביל להבין מה הוא שלח.

מה לעשות:
להוסיף את שני הערכים שהתקבלו (endTimeMs ו-startTimeMs) להודעת השגיאה עצמה, כך שעצם ההודעה תראה את הבעיה.

מה זה יפתור:
ההורה מקבל מספיק מידע מההודעה כדי לזהות את התקלה בלי לעבור על הלוגים שלו, וזמן ה-debug יורד דרמטית.

בדיקה:
לעדכן את הטסט הקיים של ה-controller שיתאים להודעה החדשה, ולהוסיף מקרה שבו endTimeMs שווה ל-startTimeMs כדי לוודא ששני הערכים מופיעים בהודעה.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להדק את occurredAt לפורמט ISO-8601 תקין,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: packages/contract/src/events/envelope.ts

הבעיה:
ה-README של חבילת events מצהיר ש-occurredAt הוא ISO-8601 UTC, אבל הסכמה בפועל דורשת רק מחרוזת לא ריקה — כל מחרוזת עוברת.

למה זה חשוב:
החוזה הכתוב והחוזה האכוף אינם מסונכרנים. צרכנים חיצוניים יכולים לקבל מחרוזות שאינן ISO תקין, וכל מי שמסתמך על הפורמט (חישוב הפרשי זמן, תצוגות, אינדקסים) ייכשל בהפתעה.

מה לעשות:
להדק את הסכמה כך שתאכוף פורמט ISO-8601 datetime תקף עבור occurredAt. אצלנו, הצד שמפרסם את האירוע משתמש כבר ב-toISOString() הסטנדרטי, אז הצד הפנימי בטוח.

מה זה יפתור:
החוזה האכוף עומד בשורה אחת עם החוזה המוצהר. כל הצרכנים מקבלים תאריך פרסבל וצפוי.

בדיקה:
להוסיף בדיקה בקובץ הטסטים של אירועי export: מחרוזת שאינה ISO נדחית; פלט של toISOString() סטנדרטי עובר.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לאמת traceparent לפי הפורמט של W3C trace context,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: packages/contract/src/events/envelope.ts

הבעיה:
השדה traceparent בסכמת ה-envelope הוא היום מחרוזת אופציונלית כלשהי. אין כל אכיפה לפורמט של W3C trace context.

למה זה חשוב:
traceparent הוא הדרך ש-OpenTelemetry מקשר span אצלנו ל-span בצד הצרכן. אם הערך מעוות, הקישור נשבר בשקט, וכל ניתוח של trace בין שירותים ""תקוע"" — קושי גדול בחקירת תקלות.

מה לעשות:
לאכוף את צורת ה-W3C traceparent כשהשדה קיים: ארבעה חלקים מופרדים במקפים — version, trace-id, parent-id, flags — באורכים קבועים של תווים הקסדצימליים. אם השדה לא קיים, להמשיך לאפשר אותו (rollout מודרג בהמשך).

מה זה יפתור:
ערכים מעוותים נדחים מוקדם, וניתוחי trace בין שירותים לא נשברים בשקט.

בדיקה:
בקובץ הטסטים של ה-envelope לוודא: ערך תקין במבנה W3C עובר, ערך מעוות נדחה, ושערך לא קיים עדיין מותר.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לדרוש פורמט UUID על jobId בסכמת render,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: packages/contract/src/internal/edit-video/schemas.ts

הבעיה:
השדה jobId בסכמת render הוא היום מחרוזת חופשית כלשהי. אותה סכמה משמשת גם לאימות הודעות AMQP אצל ה-worker — וזה גבול אמון שונה מצד ה-HTTP שלנו.

למה זה חשוב:
ה-worker בונה מפתחות ב-S3 לפי הנוסחה <PREFIX>/<jobId>.<format>. אם jobId יכיל ../foo, נקבל path traversal בכתיבה ל-S3. ה-controller שלנו תמיד יוצר UUID, אבל הגנה בעומק חשובה כי אותה סכמה מאמתת קלט גם מקריאות AMQP שלא בהכרח עוברות דרך ה-controller.

מה לעשות:
לדרוש שהשדה jobId יהיה פורמט UUID תקף. בנוסף, לסרוק פיקסטורות קיימות (בכל הטסטים) ולעדכן כל אחת שמשתמשת ב-jobId שאינו UUID.

מה זה יפתור:
חוסם path traversal ובלאי דומה בכתיבת המפתחות ל-S3, ומידק את חוזה ה-job עם ה-worker.

בדיקה:
להוסיף טסט בקובץ הטסטים של edit-video: jobId שאינו UUID נדחה, UUID תקף עובר. בנוסף לעדכן את הפיקסטורות הקיימות בכל הריפו שמשתמשות בערכים שאינם UUID.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לאחד את טבלת ה-MIME בין ה-frontend ל-server,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קבצים: apps/frontend/src/utils/upload-service.ts ו-apps/server/src/features/upload/adapters/inbound/http/upload.controller.ts

הבעיה:
יש שתי טבלאות MIME נפרדות, ידניות וקשיחות — אחת ב-frontend ואחת ב-server — והן כבר לא מסונכרנות בכמה מקומות. דוגמאות לדרישות שמתנגשות: הצד של ה-server מקבל alias של mp3 שאינו רשום ב-IANA וה-frontend לא מכיר; ה-server מקבל סוגי אודיו של x-wav/x-flac/x-m4a שה-frontend לא יודע עליהם; ה-server מקבל גם image/jpg וה-frontend נורמליז ל-image/jpeg.

למה זה חשוב:
זה drift אמיתי שמייצר באגים: משתמש בוחר קובץ, הדפדפן ממלא Content-Type שאחד הצדדים מקבל והשני דוחה — והוא מקבל 400 מבלבל אחרי שהתחיל להעלות. אין מקור אמת אחד.

מה לעשות:
להוציא טבלה אחת קנונית (מיפוי extension ל-mime, ורשימת mimes מותרים) למודול חדש שמשותף בין הצדדים, תחת חבילת ה-contract של ה-upload. שני הצדדים מייבאים משם. הרשימה המאוחדת עשויה להיות יותר הדוקה או יותר מתירנית מאחת הטבלאות הקיימות — צריך להחליט.

מה זה יפתור:
מקור אמת אחד מבטל את כל המעמד הזה של באגים, וכל שינוי עתידי ב-MIME מתרחש במקום אחד.

בדיקה:
להוסיף Vitest בקובץ טסט חדש תחת המודול המשותף שמוודא: לכל extension ברשימה יש mime מורשה; לכל mime מורשה יש extension לפחות אחד. לעדכן את הטסטים הקיימים של ה-upload (בשני הצדדים) להשתמש במודול החדש.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להוסיף bodyLimit ספציפי לראוט POST /upload/signed-url,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: apps/server/src/features/upload/adapters/inbound/http/upload.controller.ts

הבעיה:
ברירת המחדל של Fastify למגבלת body של כל ראוט היא 1MB. ה-body של POST /upload/signed-url הוא JSON זעיר של filename, mimetype ו-size — כמה מאות בתים לכל היותר.

למה זה חשוב:
שטח תקיפה מיותר. הראוט מקבל body גדול בסדרי גודל ממה שהוא צריך.

מה לעשות:
להגדיר bodyLimit ספציפי לראוט הזה, בגודל קטן (סדר גודל של אלפי בתים). לקרוא את הסכמה של ה-upload לפני קביעת המספר, ולוודא שאין מגבלה כללית אחרת ב-bootstrap שמתערבת. שים לב שה-PUT הגדול של ההעלאה עצמה לא נוגע בראוט הזה — הוא הולך ישר ל-MinIO.

מה זה יפתור:
צמצום שטח התקיפה של נקודת הקצה הזאת, בלי לפגוע במסלול ההעלאה האמיתי.

בדיקה:
להוסיף Vitest שמשגר body מעל המגבלה החדשה ומצפה ל-413.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להגביל את cropRegion.width/height בהתאם לשאר הסכמה,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: packages/contract/src/internal/edit-video/schemas.ts

הבעיה:
באותו קובץ הסכמות של overlay מגבילות width ו-height. ל-cropRegion יש רק מינימום ואין שום גג עליון על width ו-height.

למה זה חשוב:
payload פגום עובר את האימות, זורם ל-FFmpeg, ומפיק קובץ עזר של כמה GB או buffer שלא ניתן להקצות.

מה לעשות:
להוסיף גג עליון ל-cropRegion.width ול-cropRegion.height בהתאם לגגים שכבר מוגדרים בסכמות overlay השכנות באותו קובץ. את הערך המדויק לבחור אחרי קריאה של הסכמות הסמוכות (השכנים נעים בטווח דומה), ולתעד את הבחירה ב-PR.

מה זה יפתור:
חוסם payloads מגוחכים לפני שהם מגיעים ל-FFmpeg, ושומר על אחידות עם שאר הסכמות באותו קובץ.

בדיקה:
להוסיף Vitest שמוודא: ערך מעל הגג נדחה; ערך בדיוק על הגג עובר.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להזהיר ב-boot כשהאדיטור משובץ ב-iframe בלי VITE_EDITOR_PARENT_ORIGINS,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: apps/frontend/src/features/editor/external-preview/use-editor-post-message.ts

הבעיה:
deployment שבו שכחו להגדיר את משתנה הסביבה VITE_EDITOR_PARENT_ORIGINS מוחק בשקט כל הודעה מההורה. אין שום משוב או אזהרה — מבחינת ההורה, האדיטור פשוט ""לא עונה"".

למה זה חשוב:
זאת תקלת הגדרה בלתי-נראית שאוכלת שעות חקירה כל פעם שצוות הורה מנסה להבין למה האדיטור לא מקבל את ההודעות שלו.

מה לעשות:
כאשר האדיטור מזהה שהוא משובץ ב-iframe (החלון ההורה שונה מהחלון הנוכחי) ורשימת ה-origins המורשים ריקה, להציג אזהרה בהירה ל-console.warn ב-boot שמסבירה מה חסר ומה התוצאה (הודעות מההורה ייפסלו).

מה זה יפתור:
תקלת הגדרה נראית מיד, וזמן ה-debug של צוותי הורה מצטמצם משעות לדקות.

בדיקה:
להוסיף Vitest בתיקיית הטסטים הקיימת של external-preview, שמדמה שהאדיטור משובץ עם משתנה origins ריק, ומאמת שהושמעה אזהרה ל-console.warn עם תוכן רלוונטי.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להסיר את ה-MIME הלא-סטנדרטי audio/mp3 מרשימת ההיתר של ה-upload,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: apps/server/src/features/upload/adapters/inbound/http/upload.controller.ts

הבעיה:
ברשימת ה-mimes המותרים להעלאה יושב audio/mp3 לצד הסטנדרטי audio/mpeg. ה-alias הזה לא רשום ב-IANA, ודפדפנים מודרניים שולחים audio/mpeg עבור קבצי mp3.

למה זה חשוב:
drift בחוזה — אנחנו מקבלים alias לא תקני שרק חלק מהאינטגרטורים שולחים. ניקוי הרשימה מבהיר את החוזה.

מה לעשות:
להסיר את ה-alias הלא-תקני מהרשימה, ולהשאיר את audio/mpeg כערך הקנוני. בתיאור ה-PR לציין לפחות אינטגרטור אמיתי אחד שנבדק ולוודא שהוא שולח audio/mpeg.

מה זה יפתור:
חוזה upload נקי שמיישר עם הסטנדרט; פחות שדות שצריך לתחזק ולתעד.

בדיקה:
לעדכן את טסטי ה-upload controller. בקשה עם ה-alias שהוסר אמורה לחזור עכשיו 400.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להחליף CORS מתירני ברשימת מקורות מפורשת מ-env,Task,onboarding-friendly,"המשימה הזו דורשת תיאום עם החונך לפני שמתחילים.

קובץ: apps/server/src/bootstrap/server.ts

הבעיה:
ה-CORS היום מוגדר להחזיר כ-allowed את ה-Origin שהגיע — אפקטיבית wildcard. גם ברשת סגורה זה מסוכן אם דפדפן פנימי ""מבקר"" בכתובת מוזרה.

למה זה חשוב:
שטח אמון מיותר בשכבת ה-gateway. הגדרה זו מבטלת את הערך של מנגנון ה-CORS.

מה לעשות:
להחליף את ההגדרה המתירנית ברשימת מקורות מפורשת שמגיעה ממשתנה סביבה חדש (מופרד בפסיקים), ולוולד את המשתנה הזה ב-boot כחלק מסכמת ה-env. רק origins שמופיעים ברשימה מתקבלים.

מה זה יפתור:
ה-CORS הופך מ-wildcard לרשימה מנוהלת, וכל שינוי בה הוא שינוי הגדרה מתועד.

בדיקה:
להוסיף Vitest בתיקיית בדיקות ה-bootstrap שמוודא: בקשה ממקור שאינו ברשימה נדחית; בקשה ממקור ברשימה מתקבלת. ידנית: להעלות ל-preprod עם המשתנה מוגדר ולהריץ את ה-iframe-demo מולו.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
